"Timestamp","Date","Observer","plot #","burned/unburned","Depth","Pot #","Species","Count"
"2017/01/18 4:40:33 PM CST","2017-01-18","adam","09","Burned","Top 2","1","brte","4"
"2017/01/18 4:41:50 PM CST","2017-01-18","adam","09","Burned","Top 2","1","pose","18"
"2017/01/18 4:42:24 PM CST","2017-01-18","adam","02","Unburned","Top 2","1","brte","12"
"2017/01/18 4:43:10 PM CST","2017-01-18","adam","07","Burned","Top 2","1","pose","11"
"2017/01/18 4:44:18 PM CST","2017-01-18","adam","13","Unburned","Top 2","1","brte","7"
"2017/01/18 4:44:56 PM CST","2017-01-18","adam","13","Unburned","Top 2","1","pose","20"
"2017/01/18 4:46:25 PM CST","2017-01-18","adam","06","Burned","Top 2","2","pose","1"
"2017/01/18 4:47:00 PM CST","2017-01-18","adam","06","Burned","Top 2","2","pose","1"
"2017/01/18 4:47:35 PM CST","2017-01-18","adam","07","Burned","Bottom 4","2","pose","3"
"2017/01/18 4:49:46 PM CST","2017-01-18","adam","07","Burned","Bottom 4","2","brte","1"
"2017/01/18 4:50:22 PM CST","2017-01-18","adam","10","Unburned","Bottom 4","1","pose","8"
"2017/01/18 4:50:57 PM CST","2017-01-18","adam","13","Burned","Bottom 4","1","pose","4"
"2017/01/18 7:15:09 PM CST","2017-01-18","adam","10","Unburned","Bottom 4","2","pose","6"
"2017/01/18 7:15:43 PM CST","2017-01-18","adam","13","Burned","Top 2","1","brte","2"
"2017/01/18 7:16:20 PM CST","2017-01-18","adam","13","Burned","Top 2","1","pose","2"
"2017/01/18 7:16:59 PM CST","2017-01-18","adam","04","Unburned","Bottom 4","3","brte","1"
"2017/01/18 7:17:45 PM CST","2017-01-18","adam","13","Unburned","Bottom 4","2","pose","3"
"2017/01/18 7:18:28 PM CST","2017-01-18","adam","13","Unburned","Bottom 4","2","brte","1"
"2017/01/18 7:21:14 PM CST","2017-01-18","adam","12","Unburned","Top 2","2","brte","10"
"2017/01/18 7:21:49 PM CST","2017-01-18","adam","12","Unburned","Top 2","2","pose","9"
"2017/01/18 7:23:30 PM CST","2017-01-18","adam","02","Unburned","Bottom 4","1","brte","1"
"2017/01/18 7:24:13 PM CST","2017-01-18","adam","10","Unburned","Top 2","1","brte","3"
"2017/01/18 7:24:52 PM CST","2017-01-18","adam","10","Unburned","Top 2","1","pose","39"
"2017/01/18 7:25:39 PM CST","2017-01-18","adam","04","Unburned","Top 2","2","brte","2"
"2017/01/18 7:26:20 PM CST","2017-01-18","adam","04","Unburned","Top 2","2","pose","5"
"2017/01/18 7:26:54 PM CST","2017-01-18","adam","14","Unburned","Bottom 4","2","brte","3"
"2017/01/18 7:27:24 PM CST","2017-01-18","adam","14","Unburned","Bottom 4","2","pose","13"
"2017/01/19 1:41:28 PM CST","2017-01-19","adam","01","Unburned","Top 2","1","brte","10"
"2017/01/19 1:41:55 PM CST","2017-01-19","adam","01","Unburned","Top 2","1","pose","4"
"2017/01/19 1:42:22 PM CST","2017-01-19","adam","09","Unburned","Top 2","1","pose","68"
"2017/01/19 1:42:58 PM CST","2017-01-19","adam","09","Unburned","Top 2","1","brte","1"
"2017/01/19 1:43:32 PM CST","2017-01-19","adam","02","Burned","Top 2","1","brte","5"
"2017/01/19 1:43:57 PM CST","2017-01-19","adam","08","Unburned","Top 2","1","brte","2"
"2017/01/19 1:44:37 PM CST","2017-01-19","adam","08","Unburned","Top 2","1","pose","35"
"2017/01/19 1:44:59 PM CST","2017-01-19","adam","03","Unburned","Top 2","1","brte","15"
"2017/01/19 1:45:54 PM CST","2017-01-19","adam","01","Burned","Bottom 4","2","brte","1"
